File Name,Relative Path,Extension,Size (Bytes),Lines of Code
PipelineTable.tsx,src/components/dashboard/PipelineTable.tsx,.tsx,2154,44
PlannerWorkspace.tsx,src/components/dashboard/PlannerWorkspace.tsx,.tsx,20936,361
MenuDesigner.tsx,src/components/dashboard/products/MenuDesigner.tsx,.tsx,20124,414
PackageDesigner.tsx,src/components/dashboard/products/PackageDesigner.tsx,.tsx,21572,393
ProductForm.tsx,src/components/dashboard/products/ProductForm.tsx,.tsx,29155,608
ProductsList.tsx,src/components/dashboard/products/ProductsList.tsx,.tsx,12190,250
SalamiLedger.tsx,src/components/dashboard/SalamiLedger.tsx,.tsx,10923,180
DocumentGeneratorAndViewer.tsx,src/components/dashboard/sales/DocumentGeneratorAndViewer.tsx,.tsx,17507,331
ERPSalesOrderConsole.tsx,src/components/dashboard/sales/ERPSalesOrderConsole.tsx,.tsx,73393,1328
FullscreenQuotationBuilder.tsx,src/components/dashboard/sales/FullscreenQuotationBuilder.tsx,.tsx,32940,609
FullViewQuotationConsole.tsx,src/components/dashboard/sales/FullViewQuotationConsole.tsx,.tsx,29548,586
ProfessionalQuotationView.tsx,src/components/dashboard/sales/ProfessionalQuotationView.tsx,.tsx,10829,187
SalesBillingConsole.tsx,src/components/dashboard/sales/SalesBillingConsole.tsx,.tsx,24094,436
BranchSettingsManager.tsx,src/components/dashboard/settings/BranchSettingsManager.tsx,.tsx,17316,375
StatCard.tsx,src/components/dashboard/StatCard.tsx,.tsx,1335,46
AccountingView.tsx,src/components/dashboard/studio/AccountingView.tsx,.tsx,23330,498
DeliveryCenterView.tsx,src/components/dashboard/studio/DeliveryCenterView.tsx,.tsx,17745,345
EquipmentTrackingView.tsx,src/components/dashboard/studio/EquipmentTrackingView.tsx,.tsx,7756,148
PaymentsView.tsx,src/components/dashboard/studio/PaymentsView.tsx,.tsx,18013,364
PhotoSelectionView.tsx,src/components/dashboard/studio/PhotoSelectionView.tsx,.tsx,19945,418
StudioDashboardHome.tsx,src/components/dashboard/studio/StudioDashboardHome.tsx,.tsx,12145,206
StudioDashboardLayout.tsx,src/components/dashboard/studio/StudioDashboardLayout.tsx,.tsx,13207,257
StudioLeadsView.tsx,src/components/dashboard/studio/StudioLeadsView.tsx,.tsx,10625,229
StudioProjectsView.tsx,src/components/dashboard/studio/StudioProjectsView.tsx,.tsx,16098,339
TeamScheduleView.tsx,src/components/dashboard/studio/TeamScheduleView.tsx,.tsx,16098,324
VideoReviewView.tsx,src/components/dashboard/studio/VideoReviewView.tsx,.tsx,24192,478
OperationalTaskManager.tsx,src/components/dashboard/tasks/OperationalTaskManager.tsx,.tsx,12710,287
VendorWorkspace.tsx,src/components/dashboard/VendorWorkspace.tsx,.tsx,10756,194
ActivityLogsView.tsx,src/components/dashboard/venue/ActivityLogsView.tsx,.tsx,12710,303
AssetsView.tsx,src/components/dashboard/venue/AssetsView.tsx,.tsx,19173,393
BookingsView.tsx,src/components/dashboard/venue/BookingsView.tsx,.tsx,57642,914
CalendarView.tsx,src/components/dashboard/venue/CalendarView.tsx,.tsx,33757,584
ClockWeatherWidget.tsx,src/components/dashboard/venue/ClockWeatherWidget.tsx,.tsx,3881,86
ContactsView.tsx,src/components/dashboard/venue/ContactsView.tsx,.tsx,26835,490
DisplaysView.tsx,src/components/dashboard/venue/DisplaysView.tsx,.tsx,23059,447
EventFinancialLedger.tsx,src/components/dashboard/venue/EventFinancialLedger.tsx,.tsx,12202,264
HallsSpacesView.tsx,src/components/dashboard/venue/HallsSpacesView.tsx,.tsx,16714,375
LeadDetailsView.tsx,src/components/dashboard/venue/LeadDetailsView.tsx,.tsx,12971,247
LeadsView.tsx,src/components/dashboard/venue/LeadsView.tsx,.tsx,5227,125
MobileFloorOperations.tsx,src/components/dashboard/venue/MobileFloorOperations.tsx,.tsx,7568,171
NewLeadView.tsx,src/components/dashboard/venue/NewLeadView.tsx,.tsx,21307,431
NexusAppsView.tsx,src/components/dashboard/venue/NexusAppsView.tsx,.tsx,17903,278
NexusBusinessAI.tsx,src/components/dashboard/venue/NexusBusinessAI.tsx,.tsx,10575,226
ProfileMakerView.tsx,src/components/dashboard/venue/ProfileMakerView.tsx,.tsx,22830,401
PublicProfilePreview.tsx,src/components/dashboard/venue/PublicProfilePreview.tsx,.tsx,8080,182
QuotationBuilder.tsx,src/components/dashboard/venue/QuotationBuilder.tsx,.tsx,28229,580
ReportsView.tsx,src/components/dashboard/venue/ReportsView.tsx,.tsx,12337,232
SettingsView.tsx,src/components/dashboard/venue/SettingsView.tsx,.tsx,59238,815
